Category,Brand,Product Name,Size,Province,# Stores,Total Stores,'% of Stores,Avg Price,date
EDIBLES,zz_comp_PHRESH,STRAWBERRY KIWI,1x355ml,ON,552,1631,0.338442673,6.173251914,2024-03-31
EDIBLES,zz_comp_XMG,MANGO PINEAPPLE,1x236ml,ON,545,1631,0.334150828,6.908490132,2024-03-31
EDIBLES,zz_comp_SWEET JUSTICE,OG COLA,1x355ml,ON,479,1631,0.293684856,6.791084271,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ MANGO,1x355ml,ON,449,1631,0.275291232,5.284712837,2024-03-31
EDIBLES,zz_comp_VACAY,STRAWBERRY PINEAPPLE TROPICAL SODA 3:1,355ml,ON,431,1631,0.264255058,5.765488817,2024-03-31
EDIBLES,zz_comp_COOKIES,GEORGIA PIE CALIFORNIA PEACH ICED TEA,355ml,ON,375,1631,0.229920294,8.540383199,2024-03-31
EDIBLES,GREEN MONKE,MANGO GUAVA SPARKLING SODA,1x350ml,ON,357,1631,0.21888412,5.027738371,2024-03-31
EDIBLES,zz_comp_VACAY,PINEAPPLE COCONUT TROPICAL SODA 3:1,355ml,ON,345,1631,0.211526671,5.711408276,2024-03-31
EDIBLES,GREEN MONKE,ORANGE PASSIONFRUIT SPARKLING SODA,1x350ml,ON,305,1631,0.187001839,4.946956848,2024-03-31
EDIBLES,zz_comp_COLLECTIVE PROJECT,BLOOD ORANGE YUZU SOUR SQUEEZY,4 Pack,ON,245,1631,0.150214592,7.541142876,2024-03-31
EDIBLES,zz_comp_XMG,MANGO PINEAPPLE,1x236ml,AB,243,566,0.429328622,6.783360867,2024-03-31
EDIBLES,zz_comp_LEMONNADE,ORIGINAL CALIFORNIA LEMONADE,350ml,ON,221,1631,0.135499693,8.493282752,2024-03-31
EDIBLES,GREEN MONKE,PINEAPPLE COCONUT,350ml,ON,197,1631,0.120784795,4.98449992,2024-03-31
EDIBLES,zz_comp_SWEET JUSTICE,OG COLA,1x355ml,BC,191,389,0.491002571,6.743252462,2024-03-31
EDIBLES,GREEN MONKE,TROPICAL CITRUS,350ml,ON,186,1631,0.114040466,7.190061411,2024-03-31
EDIBLES,zz_comp_XMG,MANGO PINEAPPLE,1x236ml,BC,185,389,0.475578406,6.797427002,2024-03-31
EDIBLES,GREEN MONKE,MANGO GUAVA SPARKLING SODA,1x350ml,BC,183,389,0.470437018,5.370548793,2024-03-31
EDIBLES,zz_comp_TWEED,FIZZ MANGO,1x355ml,AB,172,566,0.303886926,6.598186925,2024-03-31
EDIBLES,GREEN MONKE,TROPICAL CITRUS,350ml,BC,162,389,0.416452442,7.203277685,2024-03-31
EDIBLES,GREEN MONKE,ORANGE PASSIONFRUIT SPARKLING SODA,1x350ml,BC,157,389,0.403598972,5.318164427,2024-03-31
